Artikelnummer;Bestand;Reserviert
100000;0;0
100001;0;0
100002;7;0
100003;0;0
100004;15;0
100005;0;0
100006;0;0
100007;2;7
100008;0;0
100009;12;0
100010;0;0
100011;8;0
100012;7;0
100013;0;0
100014;15;0
100015;0;0
100016;0;0
100017;2;7
100018;0;0
100019;12;0
100020;0;0
100021;0;0
100022;7;0
100023;0;0
100024;15;0
100025;0;0
100026;0;0
100027;2;7
100028;0;0
100029;12;0
100030;0;0
100031;0;0
100032;7;0
100033;0;0
100034;15;0
100035;0;0
100036;0;0
100037;2;7
100038;0;0
100039;12;0
100040;0;0
100041;0;0
100042;7;0
100043;0;0
100044;15;0
100045;0;0
100046;0;0
100047;2;7
100048;0;0
100049;12;0
100050;0;0
100051;0;0
100052;7;0
100053;0;0
100054;15;0
100055;0;0
100056;0;0
100057;2;7
100058;0;0
100059;12;0
100060;0;0
100061;0;0
100062;7;0
100063;0;0
100064;15;0
100065;0;0
100066;0;0
100067;2;7
100068;0;0
100069;12;0
100070;0;0
100071;0;0
100072;7;0
100073;0;0
100074;15;0
100075;0;0
100076;0;0
100077;2;7
100078;0;0
100079;12;0
100080;0;0
100081;0;0
100082;7;0
100083;0;0
100084;15;0
100085;0;0
100086;0;0
100087;2;7
100088;0;0
100089;12;0
100090;0;0
100091;0;0
100092;7;0
100093;0;0
100094;15;0
100095;0;0
100096;0;0
100097;2;7
100098;0;0
100099;12;0
100100;0;0
100101;0;0
100102;7;0
100103;0;0
100104;15;0
100105;0;0
100106;0;0
100107;2;7
100108;0;0
100109;12;0
100110;0;0
100111;8;0
100112;7;0
100113;0;0
100114;15;0
100115;0;0
100116;0;0
100117;2;7
100118;0;0
100119;12;0
100120;0;0
100121;0;0
100122;7;0
100123;0;0
100124;15;0
100125;0;0
100126;0;0
100127;2;7
100128;0;0
100129;12;0
100130;0;0
100131;44;15
100132;30;0
100133;0;0
100134;15;0
100135;0;0
100136;0;0
100137;2;7
100138;0;0
100139;12;0
100140;0;0
100141;0;0
100142;7;0
100143;0;0
100144;15;0
100145;0;0
100146;0;0
100147;2;7
100148;0;0
100149;12;0
100150;0;0
100151;0;0
100152;7;0
100153;0;0
100154;15;0
100155;0;0
100156;0;0
100157;2;7
100158;0;0
100159;12;0
100160;0;0
100161;0;0
100162;7;0
100163;0;0
100164;15;0
100165;0;0
100166;0;0
100167;2;7
100168;0;0
100169;12;0
100170;0;0
100171;0;0
100172;7;0
100173;0;0
100174;15;0
100175;0;0
100176;0;0
100177;2;7
100178;0;0
100179;12;0
100180;0;0
100181;0;0
100182;7;0
100183;0;0
100184;15;0
100185;0;0
100186;0;0
100187;2;7
100188;0;0
100189;12;0
100190;0;0
100191;0;0
100192;7;0
100193;0;0
100194;15;0
100195;0;0
100196;0;0
100197;2;7
100198;0;0
100199;12;0
100200;0;0
100201;0;0
100202;7;0
100203;0;0
100204;15;0
100205;0;0
100206;0;0
100207;2;7
100208;0;0
100209;12;0
100210;0;0
100211;8;0
100212;7;0
100213;0;0
100214;15;0
100215;0;0
100216;0;0
100217;2;7
100218;0;0
100219;12;0
100220;0;0
100221;0;0
100222;7;0
100223;0;0
100224;15;0
100225;0;0
100226;0;0
100227;2;7
100228;0;0
100229;12;0
100230;0;0
100231;0;0
100232;7;0
100233;0;0
100234;15;0
100235;0;0
100236;0;0
100237;2;7
100238;0;0
100239;12;0
100240;0;0
100241;0;0
100242;7;0
100243;0;0
100244;15;0
100245;0;0
100246;0;0
100247;2;7
100248;0;0
100249;12;0
100250;0;0
100251;0;0
100252;7;0
100253;0;0
100254;15;0
100255;0;0
100256;0;0
100257;2;7
100258;0;0
100259;12;0
100260;0;0
100261;0;0
100262;7;0
100263;0;0
100264;15;0
100265;0;0
100266;0;0
100267;2;7
100268;0;0
100269;12;0
100270;0;0
100271;0;0
100272;7;0
100273;0;0
100274;15;0
100275;0;0
100276;0;0
100277;2;7
100278;0;0
100279;12;0
100280;0;0
100281;0;0
100282;7;0
100283;0;0
100284;15;0
100285;0;0
100286;0;0
100287;2;7
100288;0;0
100289;12;0
100290;0;0
100291;0;0
100292;7;0
100293;0;0
100294;15;0
100295;0;0
100296;0;0
100297;2;7
100298;0;0
100299;12;0
100300;0;0
100301;0;0
100302;7;0
100303;0;0
100304;15;0
100305;0;0
100306;0;0
100307;2;7
100308;0;0
100309;12;0
100310;0;0
100311;8;0
100312;7;0
100313;0;0
100314;15;0
100315;0;0
100316;0;0
100317;2;7
100318;0;0
100319;12;0
100320;0;0
100321;0;0
100322;7;0
100323;0;0
100324;15;0
100325;0;0
100326;0;0
100327;2;7
100328;0;0
100329;12;0
100330;0;0
100331;0;0
100332;7;0
100333;0;0
100334;15;0
100335;0;0
100336;0;0
100337;2;7
100338;0;0
100339;12;0
100340;0;0
100341;0;0
100342;7;0
100343;0;0
100344;15;0
100345;0;0
100346;0;0
100347;2;7
100348;0;0
100349;12;0
100350;0;0
100351;0;0
100352;7;0
100353;0;0
100354;15;0
100355;0;0
100356;0;0
100357;2;7
100358;0;0
100359;12;0
100360;0;0
100361;0;0
100362;7;0
100363;0;0
100364;15;0
100365;0;0
100366;0;0
100367;2;7
100368;0;0
100369;12;0
100370;0;0
100371;0;0
100372;7;0
100373;0;0
100374;15;0
100375;0;0
100376;0;0
100377;2;7
100378;0;0
100379;12;0
100380;0;0
100381;0;0
100382;7;0
100383;0;0
100384;15;0
100385;0;0
100386;0;0
100387;2;7
100388;0;0
100389;12;0
100390;0;0
100391;0;0
100392;7;0
100393;0;0
100394;15;0
100395;0;0
100396;0;0
100397;2;7
100398;0;0
100399;12;0
100400;0;0
100401;0;0
100402;7;0
100403;0;0
100404;15;0
100405;0;0
100406;0;0
100407;2;7
100408;0;0
100409;12;0
100410;0;0
100411;8;0
100412;7;0
100413;0;0
100414;15;0
100415;0;0
100416;0;0
100417;2;7
100418;0;0
100419;12;0
100420;0;0
100421;0;0
100422;7;0
100423;0;0
100424;15;0
100425;0;0
100426;0;0
100427;2;7
100428;0;0
100429;12;0
100430;0;0
100431;0;0
100432;7;0
100433;0;0
100434;15;0
100435;0;0
100436;0;0
100437;2;7
100438;0;0
100439;12;0
100440;0;0
100441;0;0
100442;7;0
100443;0;0
100444;15;0
100445;0;0
100446;0;0
100447;2;7
100448;0;0
100449;12;0
100450;0;0
100451;0;0
100452;7;0
