id;ordernumber;pricegroup;von;zu;price;pseudoprice;baseprice;bulkgroup;taxgroup;taxvalue
1;100000;VK1;1;beliebig;7,5;;0;0;+;19
2;100000;VK2;1;beliebig;6,5;;0;0;+;19
3;100000;VK3;1;beliebig;9;;0;0;+;19
4;100000;VK4;1;beliebig;11;;0;0;+;19
5;100000;VK_DP;1;beliebig;9,5;;0;0;+;19
6;100001;VK1;1;beliebig;24;;0;0;+;19
7;100001;VK2;1;beliebig;22,1;;0;0;+;19
8;100001;VK3;1;beliebig;28,5;;0;0;+;19
9;100001;VK4;1;beliebig;34,5;;0;0;+;19
10;100001;VK_DP;1;beliebig;32;;0;0;+;19
11;100002;VK1;1;beliebig;24;;0;0;+;19
12;100002;VK2;1;beliebig;22,1;;0;0;+;19
13;100002;VK3;1;beliebig;28,5;;0;0;+;19
14;100002;VK4;1;beliebig;34,5;;0;0;+;19
15;100002;VK_DP;1;beliebig;32;;0;0;+;19
16;100003;VK1;1;beliebig;24;;0;0;+;19
17;100003;VK2;1;beliebig;22,1;;0;0;+;19
18;100003;VK3;1;beliebig;28,5;;0;0;+;19
19;100003;VK4;1;beliebig;34,5;;0;0;+;19
20;100003;VK_DP;1;beliebig;32;;0;0;+;19
21;100004;VK1;1;beliebig;24;;0;0;+;19
22;100004;VK2;1;beliebig;22,1;;0;0;+;19
23;100004;VK3;1;beliebig;28,5;;0;0;+;19
24;100004;VK4;1;beliebig;34,5;;0;0;+;19
25;100004;VK_DP;1;beliebig;32;;0;0;+;19
26;100005;VK1;1;beliebig;24;;0;0;+;19
27;100005;VK2;1;beliebig;22,1;;0;0;+;19
28;100005;VK3;1;beliebig;28,5;;0;0;+;19
29;100005;VK4;1;beliebig;34,5;;0;0;+;19
30;100005;VK_DP;1;beliebig;32;;0;0;+;19
31;100006;VK1;1;beliebig;24;;0;0;+;19
32;100006;VK2;1;beliebig;21,65;;0;0;+;19
33;100006;VK3;1;beliebig;28,5;;0;0;+;19
34;100006;VK4;1;beliebig;34,5;;0;0;+;19
35;100006;VK_DP;1;beliebig;31;;0;0;+;19
36;100007;VK1;1;beliebig;38;;0;0;+;19
37;100007;VK2;1;beliebig;38,7;;0;0;+;19
38;100007;VK3;1;beliebig;45;;0;0;+;19
39;100007;VK4;1;beliebig;54,5;;0;0;+;19
40;100007;VK_DP;1;beliebig;55,5;;0;0;+;19
41;100008;VK1;1;beliebig;38;;0;0;+;19
42;100008;VK2;1;beliebig;39,85;;0;0;+;19
43;100008;VK3;1;beliebig;45;;0;0;+;19
44;100008;VK4;1;beliebig;54,5;;0;0;+;19
45;100008;VK_DP;1;beliebig;57;;0;0;+;19
46;100009;VK1;1;beliebig;38;;0;0;+;19
47;100009;VK2;1;beliebig;38,7;;0;0;+;19
48;100009;VK3;1;beliebig;45;;0;0;+;19
49;100009;VK4;1;beliebig;54,5;;0;0;+;19
50;100009;VK_DP;1;beliebig;55,5;;0;0;+;19
51;100010;VK1;1;beliebig;38;;0;0;+;19
52;100010;VK2;1;beliebig;38,7;;0;0;+;19
53;100010;VK3;1;beliebig;45;;0;0;+;19
