Artikelnummer;Bestand;Reserviert
100002;22;0
100003;17;0
100004;0;0
100005;6;0
100006;0;0
100012;29;2
100013;26;0
100014;29;0
100015;14;10
100016;11;0
100019;0;0
100020;23;0
100021;10;0
100022;0;0
100055;8;0
100056;0;0
100057;8;0
100058;8;0
100059;9;0
100060;9;0
100061;0;0
100062;2;0
100063;2;0
100064;3;0
100065;16;0
100066;0;0
100067;1;0
100068;3;0
100103;4;0
100116;12;0
100117;28;0
100118;0;0
100119;37;0
100120;31;0
100121;15;0
100122;24;0
100123;57;0
100145;34;0
100146;20;0
100147;30;0
100148;39;0
100149;30;0
100151;30;0
100152;0;0
100153;40;0
100154;43;0
100155;19;0
100156;21;0
100157;11;0
100162;40;0
100164;31;0
100165;35;0
100170;2;0
100171;2;0
100172;1;0
100173;2;0
100181;7;0
100182;6;0
100183;15;0
100192;15;0
100193;16;0
100194;28;0
100200;0;0
100201;8;0
100202;7;0
100204;0;0
100205;0;0
100206;1;0
100207;1;0
100208;0;0
100214;0;0
100215;0;0
100216;0;0
100217;0;0
100218;0;0
100236;0;0
100237;0;0
100238;3;0
100265;9;0
100274;0;0
100275;0;0
100276;17;0
100277;16;0
100280;8;0
100281;13;0
100301;56;0
100304;0;0
100305;1;0
100306;24;0
100307;0;0
100308;0;0
100309;90;0
100310;56;0
100312;0;0
100313;0;0
100314;41;0
100315;0;0
100316;0;0
100317;0;0
100318;0;0
100319;1;0
100322;40;0
100344;0;0
100345;23;0
100346;0;0
100352;1;0
100354;0;0
100361;29;0
100363;0;0
100367;1;0
100372;24;0
100373;14;0
100374;16;0
100375;20;0
100376;16;0
100378;0;0
100379;0;0
100380;0;0
100393;21;0
100394;16;0
100395;22;0
100398;0;0
100400;0;0
100405;1;0
100406;1;0
100407;22;0
100408;18;0
100409;109;0
100410;35;0
100412;28;0
100413;49;0
100433;0;0
100438;0;0
100442;2;0
100449;0;0
100450;33;0
100451;36;0
100452;20;0
100456;18;0
100457;24;0
100458;0;0
100459;0;0
100460;24;0
100461;18;0
100466;15;0
100467;19;0
100468;4;0
100469;0;0
100470;16;0
100471;6;0
100472;11;0
100473;0;0
100474;0;0
100476;20;0
100477;0;0
100478;0;0
100481;10;0
100482;23;0
100484;0;0
100485;0;0
100492;11;0
100495;38;0
100502;0;0
100503;35;0
100504;18;0
100511;2;0
100516;0;0
100517;0;0
100525;33;0
100526;0;0
100527;32;0
100543;74;0
100544;24;0
100545;12;0
100546;10;0
100547;0;0
100548;87;0
100550;23;0
100551;0;0
100553;69;0
100554;1;0
100555;12;0
100556;18;0
100557;20;0
100558;13;0
100560;72;0
100561;14;0
100564;40;0
100565;0;0
100566;0;0
100567;0;0
100568;22;0
100569;22;0
100570;20;0
100571;25;0
100572;10;0
100573;1;0
100574;0;0
100575;0;0
100576;17;0
100577;5;0
100578;33;0
100580;0;0
100581;2;0
100582;25;0
100583;0;0
100584;0;0
100585;0;0
100587;2;0
100589;0;0
100591;99;0
100592;27;0
100593;2;0
100594;0;0
