id;ordernumber;pricegroup;von;zu;price;pseudoprice;baseprice;bulkgroup;taxgroup;taxvalue
1;100002;EK;1;beliebig;2,89;;0;0;I;19
2;100002;H05;1;beliebig;2,31;;0;0;+;19
3;100002;H08;1;beliebig;2,23;;0;0;+;19
4;100002;H15;1;beliebig;2,06;;0;0;+;19
5;100002;H20;1;beliebig;1,94;;0;0;+;19
6;100002;H33;1;beliebig;1,63;;0;0;+;19
7;100003;EK;1;beliebig;2,89;;0;0;I;19
8;100003;H05;1;beliebig;2,31;;0;0;+;19
9;100003;H08;1;beliebig;2,23;;0;0;+;19
10;100003;H15;1;beliebig;2,06;;0;0;+;19
11;100003;H20;1;beliebig;1,94;;0;0;+;19
12;100003;H33;1;beliebig;1,63;;0;0;+;19
13;100004;EK;1;beliebig;2,89;;0;0;I;19
14;100004;H05;1;beliebig;2,31;;0;0;+;19
23861;103998;H20;1;beliebig;5,24;;0;0;+;19
23862;103998;H33;1;beliebig;4,39;;0;0;+;19
23863;103999;EK;1;beliebig;6,89;;0;0;I;19
23864;103999;H05;1;beliebig;5,5;;0;0;+;19
23865;103999;H08;1;beliebig;5,33;;0;0;+;19
23866;103999;H15;1;beliebig;4,92;;0;0;+;19
23867;103999;H20;1;beliebig;4,63;;0;0;+;19
23868;103999;H33;1;beliebig;3,88;;0;0;+;19
23869;104000;EK;1;beliebig;6,89;;0;0;I;19
23870;104000;H05;1;beliebig;5,5;;0;0;+;19
23871;104000;H08;1;beliebig;5,33;;0;0;+;19
23872;104000;H15;1;beliebig;4,92;;0;0;+;19
23873;104000;H20;1;beliebig;4,63;;0;0;+;19
23874;104000;H33;1;beliebig;3,88;;0;0;+;19
23875;104001;EK;1;beliebig;7,8;;0;0;I;19
23876;104001;H05;1;beliebig;6,23;;0;0;+;19
23877;104001;H08;1;beliebig;6,03;;0;0;+;19
23878;104001;H15;1;beliebig;5,57;;0;0;+;19
23879;104001;H20;1;beliebig;5,24;;0;0;+;19
23880;104001;H33;1;beliebig;4,39;;0;0;+;19
23881;104002;EK;1;beliebig;7,8;;0;0;I;19
23882;104002;H05;1;beliebig;6,23;;0;0;+;19
23883;104002;H08;1;beliebig;6,03;;0;0;+;19
23884;104002;H15;1;beliebig;5,57;;0;0;+;19
23885;104002;H20;1;beliebig;5,24;;0;0;+;19
23886;104002;H33;1;beliebig;4,39;;0;0;+;19
23887;104003;EK;1;beliebig;7,8;;0;0;I;19
23888;104003;H05;1;beliebig;6,23;;0;0;+;19
23889;104003;H08;1;beliebig;6,03;;0;0;+;19
23890;104003;H15;1;beliebig;5,57;;0;0;+;19
23891;104003;H20;1;beliebig;5,24;;0;0;+;19
23892;104003;H33;1;beliebig;4,39;;0;0;+;19
23893;104004;EK;1;beliebig;7,8;;0;0;I;19
23894;104004;H05;1;beliebig;6,23;;0;0;+;19
23895;104004;H08;1;beliebig;6,03;;0;0;+;19
23896;104004;H15;1;beliebig;5,57;;0;0;+;19
23897;104004;H20;1;beliebig;5,24;;0;0;+;19
23898;104004;H33;1;beliebig;4,39;;0;0;+;19
23899;104005;EK;1;beliebig;7,8;;0;0;I;19
23900;104005;H05;1;beliebig;6,23;;0;0;+;19
23901;104005;H08;1;beliebig;6,03;;0;0;+;19
23902;104005;H15;1;beliebig;5,57;;0;0;+;19
23903;104005;H20;1;beliebig;5,24;;0;0;+;19
23904;104005;H33;1;beliebig;4,39;;0;0;+;19
23905;104006;EK;1;beliebig;7,8;;0;0;I;19
23906;104006;H05;1;beliebig;6,23;;0;0;+;19
23907;104006;H08;1;beliebig;6,03;;0;0;+;19
23908;104006;H15;1;beliebig;5,57;;0;0;+;19
23909;104006;H20;1;beliebig;5,24;;0;0;+;19
23910;104006;H33;1;beliebig;4,39;;0;0;+;19
23911;104007;EK;1;beliebig;7,8;;0;0;I;19
23912;104007;H05;1;beliebig;6,23;;0;0;+;19
23913;104007;H08;1;beliebig;6,03;;0;0;+;19
23914;104007;H15;1;beliebig;5,57;;0;0;+;19
23915;104007;H20;1;beliebig;5,24;;0;0;+;19
23916;104007;H33;1;beliebig;4,39;;0;0;+;19
23917;104008;EK;1;beliebig;7,8;;0;0;I;19
23918;104008;H05;1;beliebig;6,23;;0;0;+;19
23919;104008;H08;1;beliebig;6,03;;0;0;+;19
23920;104008;H15;1;beliebig;5,57;;0;0;+;19
23921;104008;H20;1;beliebig;5,24;;0;0;+;19
23922;104008;H33;1;beliebig;4,39;;0;0;+;19
23923;104009;EK;1;beliebig;7,8;;0;0;I;19
23924;104009;H05;1;beliebig;6,23;;0;0;+;19
23925;104009;H08;1;beliebig;6,03;;0;0;+;19
23926;104009;H15;1;beliebig;5,57;;0;0;+;19
